data,n_artigos
1970-01-01,1
2024-03-19,2
2024-03-20,8
2024-03-21,11
2024-03-22,8
2024-03-23,2
2024-03-24,3
2024-03-25,4
2024-03-26,2
2024-03-27,1
2024-03-28,4
2024-03-29,4
2024-03-30,1
2024-03-31,2
2024-04-01,4
2024-04-02,15
2024-04-03,12
2024-04-04,8
2024-04-05,7
2024-04-07,1
