data,bitcoin,blockchain,web3
1970-01-01,0,0,0
2024-03-19,0,0,1
2024-03-20,2,1,0
2024-03-21,1,0,2
2024-03-22,3,1,1
2024-03-23,1,1,1
2024-03-24,1,0,0
2024-03-25,0,0,0
2024-03-26,0,1,0
2024-03-27,0,0,0
2024-03-28,3,0,1
2024-03-29,0,0,0
2024-03-30,0,0,0
2024-03-31,1,1,0
2024-04-01,1,0,2
2024-04-02,8,1,6
2024-04-03,4,2,1
2024-04-04,1,5,0
2024-04-05,2,1,1
2024-04-07,0,0,0
